cancer,model,seed,cindex
BLCA,CoxLasso,0,1.0
BLCA,CoxLasso,1,
BLCA,CoxLasso,2,0.3333333333333333
BLCA,CoxLasso,3,0.14285714285714285
BLCA,CoxLasso,4,0.3333333333333333
BLCA,CoxLasso,5,0.3
BLCA,CoxLasso,6,1.0
BLCA,CoxLasso,7,0.7142857142857143
BLCA,CoxLasso,8,0.7777777777777778
BLCA,CoxLasso,9,0.4
BLCA,CoxRidge,0,1.0
BLCA,CoxRidge,1,
BLCA,CoxRidge,2,0.3333333333333333
BLCA,CoxRidge,3,0.14285714285714285
BLCA,CoxRidge,4,0.3333333333333333
BLCA,CoxRidge,5,0.3
BLCA,CoxRidge,6,1.0
BLCA,CoxRidge,7,0.7142857142857143
BLCA,CoxRidge,8,0.7777777777777778
BLCA,CoxRidge,9,0.4
BLCA,Coxnnet,0,1.0
BLCA,Coxnnet,1,
BLCA,Coxnnet,2,0.3333333333333333
BLCA,Coxnnet,3,0.2857142857142857
BLCA,Coxnnet,4,0.26666666666666666
BLCA,Coxnnet,5,0.35
BLCA,Coxnnet,6,0.6666666666666666
BLCA,Coxnnet,7,0.8571428571428571
BLCA,Coxnnet,8,0.4444444444444444
BLCA,Coxnnet,9,0.5
BLCA,CoxMLP,0,1.0
BLCA,CoxMLP,1,
BLCA,CoxMLP,2,0.6666666666666666
BLCA,CoxMLP,3,0.42857142857142855
BLCA,CoxMLP,4,0.2
BLCA,CoxMLP,5,0.3
BLCA,CoxMLP,6,0.0
BLCA,CoxMLP,7,1.0
BLCA,CoxMLP,8,0.5555555555555556
BLCA,CoxMLP,9,0.6
BLCA,VAECox,0,1.0
BLCA,VAECox,1,
BLCA,VAECox,2,0.3333333333333333
BLCA,VAECox,3,0.2857142857142857
BLCA,VAECox,4,0.26666666666666666
BLCA,VAECox,5,0.2
BLCA,VAECox,6,1.0
BLCA,VAECox,7,0.8571428571428571
BLCA,VAECox,8,0.5555555555555556
BLCA,VAECox,9,0.5
BRCA,CoxLasso,0,1.0
BRCA,CoxLasso,1,
BRCA,CoxLasso,2,
BRCA,CoxLasso,3,
BRCA,CoxLasso,4,1.0
BRCA,CoxLasso,5,
BRCA,CoxLasso,6,
BRCA,CoxLasso,7,
BRCA,CoxLasso,8,
BRCA,CoxLasso,9,
BRCA,CoxRidge,0,1.0
BRCA,CoxRidge,1,
BRCA,CoxRidge,2,
BRCA,CoxRidge,3,
BRCA,CoxRidge,4,1.0
BRCA,CoxRidge,5,
BRCA,CoxRidge,6,
BRCA,CoxRidge,7,
BRCA,CoxRidge,8,
BRCA,CoxRidge,9,
BRCA,Coxnnet,0,1.0
BRCA,Coxnnet,1,
BRCA,Coxnnet,2,
BRCA,Coxnnet,3,
BRCA,Coxnnet,4,0.0
BRCA,Coxnnet,5,
BRCA,Coxnnet,6,
BRCA,Coxnnet,7,
BRCA,Coxnnet,8,
BRCA,Coxnnet,9,
BRCA,CoxMLP,0,1.0
BRCA,CoxMLP,1,
BRCA,CoxMLP,2,
BRCA,CoxMLP,3,
BRCA,CoxMLP,4,0.0
BRCA,CoxMLP,5,
BRCA,CoxMLP,6,
BRCA,CoxMLP,7,
BRCA,CoxMLP,8,
BRCA,CoxMLP,9,
BRCA,VAECox,0,1.0
BRCA,VAECox,1,
BRCA,VAECox,2,
BRCA,VAECox,3,
BRCA,VAECox,4,0.0
BRCA,VAECox,5,
BRCA,VAECox,6,
BRCA,VAECox,7,
BRCA,VAECox,8,
BRCA,VAECox,9,
HNSC,CoxLasso,0,0.7142857142857143
HNSC,CoxLasso,1,0.5
HNSC,CoxLasso,2,0.16666666666666666
HNSC,CoxLasso,3,0.2
HNSC,CoxLasso,4,0.45454545454545453
HNSC,CoxLasso,5,0.7142857142857143
HNSC,CoxLasso,6,
HNSC,CoxLasso,7,0.6
HNSC,CoxLasso,8,1.0
HNSC,CoxLasso,9,0.9166666666666666
HNSC,CoxRidge,0,0.5714285714285714
HNSC,CoxRidge,1,0.5
HNSC,CoxRidge,2,0.16666666666666666
HNSC,CoxRidge,3,0.2
HNSC,CoxRidge,4,0.45454545454545453
HNSC,CoxRidge,5,0.7142857142857143
HNSC,CoxRidge,6,
HNSC,CoxRidge,7,0.6
HNSC,CoxRidge,8,1.0
HNSC,CoxRidge,9,0.9166666666666666
HNSC,Coxnnet,0,0.5714285714285714
HNSC,Coxnnet,1,1.0
HNSC,Coxnnet,2,0.5
HNSC,Coxnnet,3,0.4
HNSC,Coxnnet,4,0.45454545454545453
HNSC,Coxnnet,5,0.5714285714285714
HNSC,Coxnnet,6,
HNSC,Coxnnet,7,0.6
HNSC,Coxnnet,8,0.6666666666666666
HNSC,Coxnnet,9,0.5
HNSC,CoxMLP,0,0.5714285714285714
HNSC,CoxMLP,1,1.0
HNSC,CoxMLP,2,0.0
HNSC,CoxMLP,3,0.5
HNSC,CoxMLP,4,0.45454545454545453
HNSC,CoxMLP,5,0.14285714285714285
HNSC,CoxMLP,6,
HNSC,CoxMLP,7,0.6
HNSC,CoxMLP,8,1.0
HNSC,CoxMLP,9,0.5
HNSC,VAECox,0,0.7142857142857143
HNSC,VAECox,1,1.0
HNSC,VAECox,2,0.5
HNSC,VAECox,3,0.7
HNSC,VAECox,4,0.7272727272727273
HNSC,VAECox,5,0.7142857142857143
HNSC,VAECox,6,
HNSC,VAECox,7,0.6
HNSC,VAECox,8,1.0
HNSC,VAECox,9,0.5
KIRC,CoxLasso,0,0.6
KIRC,CoxLasso,1,0.375
KIRC,CoxLasso,2,0.75
KIRC,CoxLasso,3,
KIRC,CoxLasso,4,0.0
KIRC,CoxLasso,5,
KIRC,CoxLasso,6,0.625
KIRC,CoxLasso,7,0.0
KIRC,CoxLasso,8,1.0
KIRC,CoxLasso,9,0.75
KIRC,CoxRidge,0,0.6
KIRC,CoxRidge,1,0.25
KIRC,CoxRidge,2,0.75
KIRC,CoxRidge,3,
KIRC,CoxRidge,4,0.0
KIRC,CoxRidge,5,
KIRC,CoxRidge,6,0.625
KIRC,CoxRidge,7,0.0
KIRC,CoxRidge,8,1.0
