cancer,model,mean_cindex,std_cindex,n_valid
BLCA,CoxLasso,0.5557,0.3034,9
BLCA,CoxRidge,0.5557,0.3034,9
BLCA,Coxnnet,0.5227,0.2482,9
BLCA,CoxMLP,0.5279,0.3195,9
BLCA,VAECox,0.5554,0.3021,9
BRCA,CoxLasso,1.0,0.0,2
BRCA,CoxRidge,1.0,0.0,2
BRCA,Coxnnet,0.5,0.5,2
BRCA,CoxMLP,0.5,0.5,2
BRCA,VAECox,0.5,0.5,2
HNSC,CoxLasso,0.5852,0.2715,9
HNSC,CoxRidge,0.5693,0.2676,9
HNSC,Coxnnet,0.5849,0.1651,9
HNSC,CoxMLP,0.5299,0.3139,9
HNSC,VAECox,0.7173,0.1727,9
KIRC,CoxLasso,0.5125,0.3382,8
KIRC,CoxRidge,0.4969,0.347,8
KIRC,Coxnnet,0.701,0.2246,8
KIRC,CoxMLP,0.5302,0.2798,8
KIRC,VAECox,0.7333,0.1671,8
LGG,CoxLasso,0.6286,0.2898,5
LGG,CoxRidge,0.6286,0.2898,5
LGG,Coxnnet,0.7798,0.1357,5
LGG,CoxMLP,0.7262,0.1615,5
LGG,VAECox,0.7429,0.2241,5
LIHC,CoxLasso,0.599,0.4399,8
LIHC,CoxRidge,0.5083,0.3539,8
LIHC,Coxnnet,0.4115,0.2293,8
LIHC,CoxMLP,0.2812,0.2898,8
LIHC,VAECox,0.525,0.3507,8
LUAD,CoxLasso,0.6806,0.3862,6
LUAD,CoxRidge,0.6806,0.3862,6
LUAD,Coxnnet,0.3889,0.3425,6
LUAD,CoxMLP,0.3194,0.3862,6
LUAD,VAECox,0.4583,0.4658,6
LUSC,CoxLasso,0.6033,0.3157,10
LUSC,CoxRidge,0.5633,0.3261,10
LUSC,Coxnnet,0.5217,0.4127,10
LUSC,CoxMLP,0.5717,0.3575,10
LUSC,VAECox,0.4417,0.4283,10
OV,CoxLasso,0.3652,0.2351,10
OV,CoxRidge,0.3961,0.183,10
OV,Coxnnet,0.4747,0.1825,10
OV,CoxMLP,0.5594,0.1413,10
OV,VAECox,0.5898,0.2516,10
STAD,CoxLasso,0.8495,0.1933,9
STAD,CoxRidge,0.8495,0.1933,9
STAD,Coxnnet,0.6579,0.3177,9
STAD,CoxMLP,0.6302,0.3194,9
STAD,VAECox,0.8426,0.1861,9
