cancer,baseline,n_seeds,mean_diff,wins_vaecox,losses,ci95_lo,ci95_hi,wilcoxon_p
BLCA,CoxLasso,9,-0.0004,3,6,-0.0744,0.0698,0.8335
BLCA,CoxRidge,9,-0.0004,3,6,-0.0744,0.0698,0.8335
BLCA,Coxnnet,9,0.0327,2,7,-0.0377,0.1235,0.593
BLCA,CoxMLP,9,0.0275,2,7,-0.155,0.2952,0.3096
HNSC,CoxLasso,9,0.1322,4,5,-0.053,0.3132,0.2249
HNSC,CoxRidge,9,0.148,5,4,-0.037,0.324,0.173
HNSC,Coxnnet,9,0.1324,5,4,0.0476,0.2209,0.0422
HNSC,CoxMLP,9,0.1874,5,4,0.062,0.3399,0.0431
KIRC,CoxLasso,8,0.2208,4,4,-0.0875,0.525,0.2249
KIRC,CoxRidge,8,0.2365,4,4,-0.075,0.5562,0.138
KIRC,Coxnnet,8,0.0323,3,5,-0.1177,0.2188,0.8335
KIRC,CoxMLP,8,0.2031,5,3,0.0781,0.3469,0.0422
LGG,CoxLasso,5,0.1143,2,3,-0.1,0.3789,0.4142
LGG,CoxRidge,5,0.1143,2,3,-0.1,0.3789,0.4142
LGG,Coxnnet,5,-0.0369,1,4,-0.1821,0.1714,0.715
LGG,CoxMLP,5,0.0167,1,4,-0.15,0.2,0.6547
LIHC,CoxLasso,8,-0.074,3,5,-0.5833,0.4012,0.8438
LIHC,CoxRidge,8,0.0167,3,5,-0.375,0.425,1.0
LIHC,Coxnnet,8,0.1135,3,5,-0.0833,0.3333,0.3454
LIHC,CoxMLP,8,0.2438,5,3,-0.0438,0.5313,0.1501
LUAD,CoxLasso,6,-0.2222,1,5,-0.6667,0.2222,0.2763
LUAD,CoxRidge,6,-0.2222,1,5,-0.6667,0.2222,0.2763
LUAD,Coxnnet,6,0.0694,3,3,-0.3889,0.4722,0.715
LUAD,CoxMLP,6,0.1389,3,3,-0.334,0.6111,0.5807
LUSC,CoxLasso,10,-0.1617,1,9,-0.39,0.0817,0.3441
LUSC,CoxRidge,10,-0.1217,1,9,-0.2933,0.095,0.2325
LUSC,Coxnnet,10,-0.08,0,10,-0.24,0.0,0.3173
LUSC,CoxMLP,10,-0.13,1,9,-0.2833,-0.0033,0.0782
OV,CoxLasso,10,0.2246,7,3,0.0455,0.4233,0.0578
OV,CoxRidge,10,0.1937,7,3,0.0386,0.3667,0.038
OV,Coxnnet,10,0.1151,7,3,-0.0116,0.2428,0.1602
OV,CoxMLP,10,0.0304,5,5,-0.0652,0.1349,0.5566
STAD,CoxLasso,9,-0.0069,3,6,-0.213,0.1905,0.8335
STAD,CoxRidge,9,-0.0069,3,6,-0.213,0.1905,0.8335
STAD,Coxnnet,9,0.1847,4,5,-0.0481,0.4095,0.2249
STAD,CoxMLP,9,0.2124,5,4,-0.027,0.4278,0.173
