cancer,experiment,level,CoxLasso,CoxRidge,Coxnnet,CoxMLP,VAECox,VAECox-Random
BLCA,missing,0%,0.4881,0.3262,0.5548,0.5071,0.5357,0.519
BLCA,missing,10%,0.5238,0.2905,0.5905,0.5071,0.5714,0.519
BLCA,missing,25%,0.4357,0.3095,0.5548,0.4905,0.5357,0.45
BLCA,missing,50%,0.5214,0.5262,0.5714,0.5238,0.5524,0.5357
BLCA,noise,sigma=0.0,0.4881,0.3262,0.5548,0.5071,0.5357,0.519
BLCA,noise,sigma=0.5,0.4881,0.3262,0.5548,0.5071,0.519,0.519
BLCA,noise,sigma=1.0,0.4881,0.3095,0.5548,0.5262,0.5714,0.4833
BLCA,noise,sigma=2.0,0.469,0.3452,0.5905,0.5071,0.519,0.5024
BRCA,missing,0%,1.0,1.0,0.5,0.5,0.5,0.5
BRCA,missing,10%,1.0,1.0,0.5,1.0,0.5,0.5
BRCA,missing,25%,1.0,1.0,0.5,1.0,0.5,0.5
BRCA,missing,50%,0.5,1.0,0.5,1.0,0.5,0.5
BRCA,noise,sigma=0.0,1.0,1.0,0.5,0.5,0.5,0.5
BRCA,noise,sigma=0.5,1.0,1.0,0.5,0.5,0.5,0.5
BRCA,noise,sigma=1.0,1.0,0.5,0.5,1.0,0.5,0.5
BRCA,noise,sigma=2.0,1.0,1.0,0.5,0.5,0.5,0.5
HNSC,missing,0%,0.4404,0.5751,0.6068,0.59,0.6483,0.7132
HNSC,missing,10%,0.3271,0.6151,0.5886,0.6082,0.6483,0.7132
HNSC,missing,25%,0.31,0.5587,0.6519,0.5882,0.635,0.6732
HNSC,missing,50%,0.3414,0.569,0.5823,0.4555,0.6501,0.6204
HNSC,noise,sigma=0.0,0.4404,0.5751,0.6068,0.59,0.6483,0.7132
HNSC,noise,sigma=0.5,0.27,0.5751,0.5886,0.59,0.6483,0.7132
HNSC,noise,sigma=1.0,0.37,0.5751,0.5886,0.59,0.6883,0.7465
HNSC,noise,sigma=2.0,0.5319,0.5179,0.6438,0.6082,0.6865,0.6932
KIRC,missing,0%,0.4313,0.425,0.3937,0.3812,0.4,0.475
KIRC,missing,10%,0.4125,0.5875,0.5687,0.4437,0.3937,0.4562
KIRC,missing,25%,0.5125,0.5875,0.6188,0.3812,0.4313,0.475
KIRC,missing,50%,0.4688,0.4375,0.6875,0.2687,0.3312,0.4437
KIRC,noise,sigma=0.0,0.4313,0.425,0.3937,0.3812,0.4,0.475
KIRC,noise,sigma=0.5,0.4625,0.425,0.3937,0.3187,0.4,0.475
KIRC,noise,sigma=1.0,0.4125,0.5563,0.4562,0.3812,0.4313,0.475
KIRC,noise,sigma=2.0,0.4813,0.4938,0.3937,0.3187,0.35,0.3625
LGG,missing,0%,0.3214,0.3571,0.7768,0.7321,0.6071,0.6786
LGG,missing,10%,0.3214,0.3571,0.7768,0.7321,0.6071,0.6786
LGG,missing,25%,0.3214,0.2857,0.7768,0.6071,0.6071,0.6786
LGG,missing,50%,0.5893,0.3571,0.6786,0.5357,0.6071,0.6786
LGG,noise,sigma=0.0,0.3214,0.3571,0.7768,0.7321,0.6071,0.6786
LGG,noise,sigma=0.5,0.3214,0.3571,0.7768,0.7321,0.6071,0.6786
LGG,noise,sigma=1.0,0.3214,0.3571,0.7768,0.7321,0.6071,0.6786
LGG,noise,sigma=2.0,0.3214,0.4286,0.7768,0.6071,0.6071,0.6786
LIHC,missing,0%,0.5933,0.27,0.4333,0.2133,0.4533,0.54
LIHC,missing,10%,0.6267,0.3433,0.3933,0.2133,0.4533,0.5
LIHC,missing,25%,0.5933,0.2367,0.36,0.2467,0.42,0.4267
LIHC,missing,50%,0.6433,0.2667,0.4333,0.3267,0.5333,0.5733
LIHC,noise,sigma=0.0,0.5933,0.27,0.4333,0.2133,0.4533,0.54
LIHC,noise,sigma=0.5,0.5933,0.26,0.4333,0.2467,0.4533,0.54
LIHC,noise,sigma=1.0,0.5933,0.22,0.4333,0.2133,0.4533,0.54
LIHC,noise,sigma=2.0,0.5367,0.32,0.4333,0.2467,0.4533,0.5733
LUAD,missing,0%,0.5833,0.25,0.3333,0.1667,0.5833,0.5
LUAD,missing,10%,0.5833,0.25,0.3333,0.1667,0.5833,0.5
LUAD,missing,25%,0.5833,0.25,0.5,0.1667,0.5833,0.5
LUAD,missing,50%,0.5833,0.5833,0.5,0.1667,0.5833,0.5
LUAD,noise,sigma=0.0,0.5833,0.25,0.3333,0.1667,0.5833,0.5
LUAD,noise,sigma=0.5,0.5833,0.25,0.3333,0.1667,0.5833,0.5
LUAD,noise,sigma=1.0,0.5,0.5833,0.3333,0.1667,0.5833,0.5
LUAD,noise,sigma=2.0,0.5833,0.25,0.3333,0.0833,0.5833,0.5
LUSC,missing,0%,0.58,0.4733,0.6333,0.5867,0.4667,0.58
LUSC,missing,10%,0.58,0.5067,0.6333,0.5867,0.4333,0.5133
LUSC,missing,25%,0.58,0.54,0.6333,0.5867,0.4667,0.58
LUSC,missing,50%,0.66,0.58,0.6333,0.5467,0.3,0.5533
LUSC,noise,sigma=0.0,0.58,0.4733,0.6333,0.5867,0.4667,0.58
LUSC,noise,sigma=0.5,0.5867,0.4733,0.6333,0.5867,0.4667,0.62
LUSC,noise,sigma=1.0,0.5467,0.4733,0.6333,0.5867,0.4667,0.54
LUSC,noise,sigma=2.0,0.7267,0.5533,0.6333,0.6267,0.4667,0.5533
OV,missing,0%,0.32,0.5156,0.4511,0.5067,0.3689,0.5
OV,missing,10%,0.3533,0.4956,0.4311,0.4867,0.3556,0.48
OV,missing,25%,0.4067,0.4356,0.4156,0.4578,0.4111,0.4822
OV,missing,50%,0.3,0.4578,0.3978,0.4911,0.3822,0.4467
OV,noise,sigma=0.0,0.32,0.5156,0.4511,0.5067,0.3689,0.5
OV,noise,sigma=0.5,0.32,0.5556,0.4311,0.5067,0.4311,0.5
OV,noise,sigma=1.0,0.34,0.5156,0.4511,0.4844,0.3556,0.42
OV,noise,sigma=2.0,0.3,0.4089,0.4711,0.46,0.3489,0.5
STAD,missing,0%,0.779,0.6462,0.7176,0.701,0.8529,0.7176
STAD,missing,10%,0.8076,0.6462,0.7176,0.6676,0.8529,0.7176
STAD,missing,25%,0.8362,0.5824,0.7176,0.701,0.8529,0.7176
STAD,missing,50%,0.8124,0.7529,0.7176,0.701,0.8243,0.7176
STAD,noise,sigma=0.0,0.779,0.6462,0.7176,0.701,0.8529,0.7176
STAD,noise,sigma=0.5,0.779,0.6462,0.7176,0.701,0.8529,0.7176
STAD,noise,sigma=1.0,0.779,0.6795,0.7176,0.701,0.8243,0.7176
STAD,noise,sigma=2.0,0.8124,0.5462,0.7176,0.701,0.8529,0.7176
