cancer,model,seed,cindex
BLCA,CoxLasso,0,0.60773085182534
BLCA,CoxLasso,1,0.5866574965612105
BLCA,CoxLasso,2,0.7041351193942924
BLCA,CoxLasso,3,0.5847803881511746
BLCA,CoxLasso,4,0.5603833865814697
BLCA,CoxLasso,5,0.6124183006535948
BLCA,CoxLasso,6,0.5818530964954393
BLCA,CoxLasso,7,0.6119500984898227
BLCA,CoxLasso,8,0.6716503737780334
BLCA,CoxLasso,9,0.5836842105263158
BLCA,CoxRidge,0,0.6062992125984252
BLCA,CoxRidge,1,0.5887207702888583
BLCA,CoxRidge,2,0.7041351193942924
BLCA,CoxRidge,3,0.5847803881511746
BLCA,CoxRidge,4,0.5603833865814697
BLCA,CoxRidge,5,0.6183006535947713
BLCA,CoxRidge,6,0.5813730196831493
BLCA,CoxRidge,7,0.6172028890347997
BLCA,CoxRidge,8,0.6728004600345026
BLCA,CoxRidge,9,0.5847368421052631
BLCA,Coxnnet,0,0.6463851109520401
BLCA,Coxnnet,1,0.6045392022008254
BLCA,Coxnnet,2,0.7303436225975539
BLCA,Coxnnet,3,0.5960163432073544
BLCA,Coxnnet,4,0.5884984025559106
BLCA,Coxnnet,5,0.6888888888888889
BLCA,Coxnnet,6,0.5962554008641383
BLCA,Coxnnet,7,0.66973079448457
BLCA,Coxnnet,8,0.723404255319149
BLCA,Coxnnet,9,0.6521052631578947
BLCA,CoxMLP,0,0.6156048675733715
BLCA,CoxMLP,1,0.6341127922971114
BLCA,CoxMLP,2,0.7227722772277227
BLCA,CoxMLP,3,0.618488253319714
BLCA,CoxMLP,4,0.6006389776357828
BLCA,CoxMLP,5,0.6993464052287581
BLCA,CoxMLP,6,0.5943350936149784
BLCA,CoxMLP,7,0.6585686145764937
BLCA,CoxMLP,8,0.7119033927544566
BLCA,CoxMLP,9,0.6521052631578947
BLCA,VAECox,0,0.6241947029348605
BLCA,VAECox,1,0.6203576341127923
BLCA,VAECox,2,0.7134536983110076
BLCA,VAECox,3,0.6210418794688458
BLCA,VAECox,4,0.6421725239616614
BLCA,VAECox,5,0.7457516339869281
BLCA,VAECox,6,0.5952952472395583
BLCA,VAECox,7,0.6414970453053185
BLCA,VAECox,8,0.7119033927544566
BLCA,VAECox,9,0.7078947368421052
BRCA,CoxLasso,0,0.7327935222672065
BRCA,CoxLasso,1,0.5281730221969266
BRCA,CoxLasso,2,0.660844250363901
BRCA,CoxLasso,3,0.6351267779839208
BRCA,CoxLasso,4,0.6246648793565683
BRCA,CoxLasso,5,0.648695652173913
BRCA,CoxLasso,6,0.761699064074874
BRCA,CoxLasso,7,0.6649572649572649
BRCA,CoxLasso,8,0.7209856915739269
BRCA,CoxLasso,9,0.7527950310559006
BRCA,CoxRidge,0,0.7399910031488979
BRCA,CoxRidge,1,0.537279453614115
BRCA,CoxRidge,2,0.6615720524017468
BRCA,CoxRidge,3,0.6329622758194187
BRCA,CoxRidge,4,0.6273458445040214
BRCA,CoxRidge,5,0.6532173913043479
BRCA,CoxRidge,6,0.7782577393808495
BRCA,CoxRidge,7,0.6662393162393162
BRCA,CoxRidge,8,0.7448330683624801
BRCA,CoxRidge,9,0.7552795031055901
BRCA,Coxnnet,0,0.7872244714349977
BRCA,Coxnnet,1,0.6664769493454752
BRCA,Coxnnet,2,0.6804949053857351
BRCA,Coxnnet,3,0.6283240568954854
BRCA,Coxnnet,4,0.6985829184220606
BRCA,Coxnnet,5,0.6695652173913044
BRCA,Coxnnet,6,0.7692584593232541
BRCA,Coxnnet,7,0.6512820512820513
BRCA,Coxnnet,8,0.7170111287758346
BRCA,Coxnnet,9,0.7198757763975155
BRCA,CoxMLP,0,0.7917228969860549
BRCA,CoxMLP,1,0.5577689243027888
BRCA,CoxMLP,2,0.618995633187773
BRCA,CoxMLP,3,0.6617192331478046
BRCA,CoxMLP,4,0.6641133665262352
BRCA,CoxMLP,5,0.6907826086956522
BRCA,CoxMLP,6,0.7361411087113031
BRCA,CoxMLP,7,0.6611111111111111
BRCA,CoxMLP,8,0.6677265500794912
BRCA,CoxMLP,9,0.7391304347826086
BRCA,VAECox,0,0.7908232118758435
BRCA,VAECox,1,0.6334661354581673
BRCA,VAECox,2,0.61863173216885
BRCA,VAECox,3,0.6576994434137291
BRCA,VAECox,4,0.6786671773266948
BRCA,VAECox,5,0.58
BRCA,VAECox,6,0.7044636429085673
BRCA,VAECox,7,0.7076923076923077
BRCA,VAECox,8,0.6001589825119237
BRCA,VAECox,9,0.739751552795031
HNSC,CoxLasso,0,0.6337475474166122
HNSC,CoxLasso,1,0.6330134357005758
HNSC,CoxLasso,2,0.6179315476190477
HNSC,CoxLasso,3,0.6534576534576535
HNSC,CoxLasso,4,0.6240805265195509
HNSC,CoxLasso,5,0.5917329093799683
HNSC,CoxLasso,6,0.6276984390567918
HNSC,CoxLasso,7,0.6142912024587015
HNSC,CoxLasso,8,0.612967251075091
HNSC,CoxLasso,9,0.6192468619246861
HNSC,CoxRidge,0,0.6438848920863309
HNSC,CoxRidge,1,0.6314779270633397
HNSC,CoxRidge,2,0.6309523809523809
HNSC,CoxRidge,3,0.662004662004662
HNSC,CoxRidge,4,0.6306620209059234
HNSC,CoxRidge,5,0.5949125596184419
HNSC,CoxRidge,6,0.6340086350049817
HNSC,CoxRidge,7,0.6358048405685747
