cancer,model,mean_cindex,std_cindex,n_valid
BLCA,CoxLasso,0.6105,0.0422,10
BLCA,CoxRidge,0.6119,0.0423,10
BLCA,Coxnnet,0.6496,0.0504,10
BLCA,CoxMLP,0.6508,0.0443,10
BLCA,VAECox,0.6624,0.0494,10
BRCA,CoxLasso,0.6731,0.0676,10
BRCA,CoxRidge,0.6797,0.0705,10
BRCA,Coxnnet,0.6988,0.048,10
BRCA,CoxMLP,0.6789,0.0624,10
BRCA,VAECox,0.6711,0.0626,10
HNSC,CoxLasso,0.6228,0.0154,10
HNSC,CoxRidge,0.6298,0.0174,10
HNSC,Coxnnet,0.6096,0.0336,10
HNSC,CoxMLP,0.6074,0.0394,10
HNSC,VAECox,0.6125,0.026,10
KIRC,CoxLasso,0.703,0.0471,10
KIRC,CoxRidge,0.7026,0.0469,10
KIRC,Coxnnet,0.7531,0.0354,10
KIRC,CoxMLP,0.7308,0.035,10
KIRC,VAECox,0.7219,0.031,10
LGG,CoxLasso,0.8097,0.0611,10
LGG,CoxRidge,0.8103,0.0612,10
LGG,Coxnnet,0.8131,0.0392,10
LGG,CoxMLP,0.8161,0.0538,10
LGG,VAECox,0.8011,0.0315,10
LIHC,CoxLasso,0.697,0.0529,10
LIHC,CoxRidge,0.6967,0.0527,10
LIHC,Coxnnet,0.7252,0.0366,10
LIHC,CoxMLP,0.693,0.0575,10
LIHC,VAECox,0.7302,0.0383,10
LUAD,CoxLasso,0.6089,0.0338,10
LUAD,CoxRidge,0.6155,0.0278,10
LUAD,Coxnnet,0.6268,0.0312,10
LUAD,CoxMLP,0.6398,0.0453,10
LUAD,VAECox,0.6403,0.0345,10
LUSC,CoxLasso,0.5057,0.0358,10
LUSC,CoxRidge,0.5031,0.0396,10
LUSC,Coxnnet,0.4784,0.0288,10
LUSC,CoxMLP,0.5085,0.0229,10
LUSC,VAECox,0.4954,0.0158,10
OV,CoxLasso,0.5819,0.0346,10
OV,CoxRidge,0.5823,0.0354,10
OV,Coxnnet,0.576,0.0482,10
OV,CoxMLP,0.5751,0.0358,10
OV,VAECox,0.5864,0.0478,10
STAD,CoxLasso,0.5097,0.054,10
STAD,CoxRidge,0.5124,0.0548,10
STAD,Coxnnet,0.5306,0.0795,10
STAD,CoxMLP,0.5083,0.055,10
STAD,VAECox,0.5375,0.0622,10
