cancer,baseline,n_seeds,mean_diff,wins_vaecox,losses,ci95_lo,ci95_hi,wilcoxon_p
BLCA,CoxLasso,10,0.0518,10,0,0.0271,0.0813,0.002
BLCA,CoxRidge,10,0.0505,10,0,0.0263,0.079,0.002
BLCA,Coxnnet,10,0.0127,5,5,-0.007,0.0338,0.4316
BLCA,CoxMLP,10,0.0116,6,4,-0.0031,0.0285,0.4258
BRCA,CoxLasso,10,-0.0019,5,5,-0.0438,0.0389,1.0
BRCA,CoxRidge,10,-0.0086,5,5,-0.0535,0.0336,0.8457
BRCA,Coxnnet,10,-0.0277,4,6,-0.0591,0.0041,0.1602
BRCA,CoxMLP,10,-0.0078,4,6,-0.0391,0.0221,0.6953
HNSC,CoxLasso,10,-0.0103,4,6,-0.0249,0.0051,0.2754
HNSC,CoxRidge,10,-0.0173,1,9,-0.0296,-0.0034,0.0371
HNSC,Coxnnet,10,0.0029,4,6,-0.0146,0.0242,1.0
HNSC,CoxMLP,10,0.0051,5,5,-0.0132,0.0241,0.6953
KIRC,CoxLasso,10,0.0189,6,4,0.0004,0.0402,0.1934
KIRC,CoxRidge,10,0.0193,6,4,0.0007,0.0407,0.1934
KIRC,Coxnnet,10,-0.0311,1,9,-0.0442,-0.0172,0.0039
KIRC,CoxMLP,10,-0.0089,4,6,-0.0214,0.0021,0.2324
LGG,CoxLasso,10,-0.0086,3,7,-0.0395,0.0283,0.4922
LGG,CoxRidge,10,-0.0091,3,7,-0.04,0.0279,0.4922
LGG,Coxnnet,10,-0.012,5,5,-0.0392,0.0132,0.625
LGG,CoxMLP,10,-0.0149,4,6,-0.0455,0.0155,0.4316
LIHC,CoxLasso,10,0.0331,8,2,0.0007,0.0633,0.1055
LIHC,CoxRidge,10,0.0335,8,2,0.001,0.0633,0.1055
LIHC,Coxnnet,10,0.005,6,4,-0.0099,0.0203,0.625
LIHC,CoxMLP,10,0.0372,9,1,0.0182,0.0588,0.0059
LUAD,CoxLasso,10,0.0314,9,1,0.0097,0.0525,0.0273
LUAD,CoxRidge,10,0.0248,8,2,0.0075,0.0431,0.0371
LUAD,Coxnnet,10,0.0135,5,5,-0.001,0.028,0.2754
LUAD,CoxMLP,10,0.0005,6,4,-0.0261,0.0243,1.0
LUSC,CoxLasso,10,-0.0103,5,5,-0.036,0.0125,0.4922
LUSC,CoxRidge,10,-0.0077,4,6,-0.0321,0.0187,0.625
LUSC,Coxnnet,10,0.017,9,1,0.0019,0.0317,0.0645
LUSC,CoxMLP,10,-0.013,2,8,-0.0323,0.0062,0.2031
OV,CoxLasso,10,0.0045,5,5,-0.0142,0.0228,0.625
OV,CoxRidge,10,0.0041,6,4,-0.015,0.0231,0.625
OV,Coxnnet,10,0.0104,7,3,-0.0128,0.0332,0.375
OV,CoxMLP,10,0.0112,7,3,-0.0079,0.0285,0.2754
STAD,CoxLasso,10,0.0278,6,4,-0.0006,0.058,0.2324
STAD,CoxRidge,10,0.0251,7,3,0.0042,0.0491,0.0645
STAD,Coxnnet,10,0.0069,5,5,-0.017,0.0331,0.8457
STAD,CoxMLP,10,0.0292,9,1,0.0126,0.0449,0.0195
