cancer,experiment,level,CoxLasso,CoxRidge,Coxnnet,CoxMLP,VAECox,VAECox-Random
BLCA,missing,0%,0.6085,0.6059,0.6044,0.6442,0.6186,0.6125
BLCA,missing,10%,0.6105,0.608,0.6063,0.644,0.6189,0.6115
BLCA,missing,25%,0.6077,0.6168,0.6096,0.644,0.6188,0.6142
BLCA,missing,50%,0.5913,0.5719,0.6057,0.6368,0.6125,0.6109
BLCA,noise,sigma=0.0,0.6085,0.6059,0.6044,0.6442,0.6186,0.6125
BLCA,noise,sigma=0.5,0.6059,0.5927,0.6072,0.6429,0.618,0.6112
BLCA,noise,sigma=1.0,0.5785,0.6039,0.6053,0.6428,0.6208,0.6106
BLCA,noise,sigma=2.0,0.5805,0.5927,0.5991,0.6454,0.6229,0.6073
BRCA,missing,0%,0.6351,0.648,0.6715,0.6287,0.6958,0.6934
BRCA,missing,10%,0.6353,0.6468,0.67,0.625,0.6924,0.6897
BRCA,missing,25%,0.6417,0.6581,0.6701,0.6284,0.6993,0.6932
BRCA,missing,50%,0.6099,0.6412,0.6548,0.6253,0.6863,0.6846
BRCA,noise,sigma=0.0,0.6351,0.648,0.6715,0.6287,0.6958,0.6934
BRCA,noise,sigma=0.5,0.6235,0.6372,0.6706,0.6302,0.6938,0.6902
BRCA,noise,sigma=1.0,0.6097,0.6425,0.6821,0.6285,0.6928,0.6993
BRCA,noise,sigma=2.0,0.5973,0.6113,0.6675,0.6337,0.6827,0.6781
HNSC,missing,0%,0.6381,0.6042,0.6082,0.6076,0.5805,0.6018
HNSC,missing,10%,0.6321,0.6092,0.6077,0.6084,0.5806,0.6031
HNSC,missing,25%,0.6432,0.6024,0.609,0.6079,0.5835,0.6012
HNSC,missing,50%,0.5875,0.57,0.6073,0.6106,0.5797,0.6052
HNSC,noise,sigma=0.0,0.6381,0.6042,0.6082,0.6076,0.5805,0.6018
HNSC,noise,sigma=0.5,0.624,0.5855,0.6059,0.6001,0.5802,0.6006
HNSC,noise,sigma=1.0,0.6082,0.5899,0.6012,0.6019,0.5795,0.5991
HNSC,noise,sigma=2.0,0.5989,0.5712,0.5899,0.6055,0.5853,0.5923
KIRC,missing,0%,0.7045,0.7206,0.7074,0.7211,0.7228,0.7232
KIRC,missing,10%,0.699,0.7016,0.7038,0.7203,0.7226,0.7226
KIRC,missing,25%,0.6936,0.6994,0.7086,0.7234,0.7215,0.7234
KIRC,missing,50%,0.6524,0.6889,0.7089,0.7192,0.7172,0.7265
KIRC,noise,sigma=0.0,0.7045,0.7206,0.7074,0.7211,0.7228,0.7232
KIRC,noise,sigma=0.5,0.6965,0.7078,0.7053,0.7179,0.7225,0.7211
KIRC,noise,sigma=1.0,0.6734,0.6828,0.7099,0.7137,0.722,0.722
KIRC,noise,sigma=2.0,0.6479,0.5967,0.7069,0.7202,0.7156,0.7242
LGG,missing,0%,0.8266,0.824,0.8051,0.8157,0.8171,0.8072
LGG,missing,10%,0.8181,0.8178,0.807,0.8153,0.8139,0.8078
LGG,missing,25%,0.8266,0.81,0.8044,0.8137,0.8133,0.805
LGG,missing,50%,0.7929,0.8021,0.8083,0.8177,0.8187,0.8124
LGG,noise,sigma=0.0,0.8266,0.824,0.8051,0.8157,0.8171,0.8072
LGG,noise,sigma=0.5,0.8229,0.8175,0.8062,0.8167,0.8124,0.8084
LGG,noise,sigma=1.0,0.8068,0.8164,0.8024,0.8142,0.8119,0.8061
LGG,noise,sigma=2.0,0.7118,0.7584,0.801,0.817,0.8055,0.8193
LIHC,missing,0%,0.7089,0.6626,0.6957,0.6685,0.6934,0.6769
LIHC,missing,10%,0.7035,0.6636,0.6935,0.6672,0.6913,0.6763
LIHC,missing,25%,0.6955,0.6234,0.6991,0.666,0.6873,0.6719
LIHC,missing,50%,0.6326,0.6475,0.7023,0.6657,0.6907,0.6792
LIHC,noise,sigma=0.0,0.7089,0.6626,0.6957,0.6685,0.6934,0.6769
LIHC,noise,sigma=0.5,0.7043,0.6442,0.6963,0.6666,0.6933,0.6772
LIHC,noise,sigma=1.0,0.6414,0.6229,0.6945,0.6674,0.6889,0.6814
LIHC,noise,sigma=2.0,0.6435,0.6418,0.695,0.6819,0.6971,0.6847
LUAD,missing,0%,0.6218,0.6137,0.6156,0.6295,0.6026,0.6121
LUAD,missing,10%,0.6175,0.6069,0.6133,0.6275,0.6017,0.6115
LUAD,missing,25%,0.6163,0.6043,0.6116,0.6303,0.6005,0.614
LUAD,missing,50%,0.6146,0.6091,0.6063,0.6193,0.6007,0.6094
LUAD,noise,sigma=0.0,0.6218,0.6137,0.6156,0.6295,0.6026,0.6121
LUAD,noise,sigma=0.5,0.6254,0.6182,0.6156,0.6254,0.6045,0.6109
LUAD,noise,sigma=1.0,0.6112,0.5857,0.6076,0.6239,0.6017,0.6122
LUAD,noise,sigma=2.0,0.5658,0.5867,0.5964,0.6244,0.5946,0.6075
LUSC,missing,0%,0.509,0.501,0.4628,0.4856,0.501,0.4914
LUSC,missing,10%,0.4972,0.5057,0.463,0.4853,0.5033,0.4924
LUSC,missing,25%,0.5052,0.5008,0.4618,0.485,0.5022,0.4926
LUSC,missing,50%,0.4796,0.4979,0.4562,0.481,0.4983,0.4896
LUSC,noise,sigma=0.0,0.509,0.501,0.4628,0.4856,0.501,0.4914
LUSC,noise,sigma=0.5,0.4975,0.5018,0.4655,0.4899,0.5022,0.4918
LUSC,noise,sigma=1.0,0.5109,0.4944,0.4596,0.489,0.4988,0.4868
LUSC,noise,sigma=2.0,0.5021,0.4908,0.4786,0.4884,0.5143,0.5011
OV,missing,0%,0.5752,0.5954,0.582,0.5866,0.5928,0.5776
OV,missing,10%,0.5731,0.592,0.5832,0.587,0.5891,0.5737
OV,missing,25%,0.56,0.5993,0.5874,0.5896,0.5901,0.5807
OV,missing,50%,0.5877,0.5808,0.594,0.5936,0.5981,0.5841
OV,noise,sigma=0.0,0.5752,0.5954,0.582,0.5866,0.5928,0.5776
OV,noise,sigma=0.5,0.5653,0.6011,0.5789,0.5859,0.5914,0.5751
OV,noise,sigma=1.0,0.5541,0.5812,0.5796,0.5926,0.5867,0.5758
OV,noise,sigma=2.0,0.5462,0.5349,0.5641,0.5689,0.5747,0.5633
STAD,missing,0%,0.5013,0.4999,0.5097,0.5051,0.5128,0.5251
STAD,missing,10%,0.5094,0.5021,0.5095,0.5091,0.5124,0.5262
STAD,missing,25%,0.5081,0.5043,0.5111,0.506,0.5134,0.5271
STAD,missing,50%,0.5043,0.4864,0.5124,0.5075,0.5186,0.529
STAD,noise,sigma=0.0,0.5013,0.4999,0.5097,0.5051,0.5128,0.5251
STAD,noise,sigma=0.5,0.4791,0.5034,0.5094,0.506,0.5108,0.5271
STAD,noise,sigma=1.0,0.5068,0.4717,0.5128,0.5027,0.5109,0.5283
STAD,noise,sigma=2.0,0.4954,0.5122,0.5113,0.4938,0.5098,0.5248
